key|description
MBS balloon|Balloon. The final payment on a loan or mortgage that is much larger than previous payments. Some debts are structured with balloon payments to account for events such as increased interest rates during the life of the loan.
MBS Other|Description for Agency Pools (Fannie, Freddie, Ginnie) that are unable to be mapped to a generic security.
MED TERM NOTE|Medium Term Note (MTN). Continuously offered notes with maturities ranging from nine months to 40 years. Typically unsecured debt obligations, each medium term note issue (also known as a tranche) is a drawdown from a program (prospectus) level. MTNs are flexible in structure and market timing because of this type of issuance (modeled from the commercial paper market).
MEDIUM TERM CD|Medium Term Certificates of Deposit - medium term maturities
MEDIUM TERM ECD|Medium Term Euro Certificates of Deposit - medium term maturities
MEXICAN CP|Mexican Commercial Paper
MEXICAN PAGARE|Mexican Short Term MMKT instrument
MLP|Master Limited Partnership: A type of limited partnership that is publicly traded. There are two types of partners in this type of partnership: The limited partner is the person or group that provides the capital to the MLP and receives periodic income distributions from the MLP's cash flow, whereas the general partner is the party responsible for managing the MLP's affairs and receives compensation that is linked to the performance of the venture.
MONEY MARKET CALL|A short-term money market, which allows for large financial institutions, such as banks, mutual funds and corporations to borrow and lend money at interbank rates
MUNI CP|Commercial Paper. An unsecured short-term promise to repay a fixed amount on a certain future date. Commercial paper usually matures from 2 to 270 days and is traded on a discount basis. This debt instrument, issued by banks, companies and other borrowers, use only their credit ratings to back the security. Commercial Paper House. A dealer who buys commercial paper at one price, then tries to sell it at another.
MUNI INT BEAR CP|Municipal Commercial Paper / Interest Bearing
MUNI SWAP|A Municipal Swap is a swap that exchanges a municipal bond index with a funding leg
MURABAHA|An Islamic financing structure, where an intermediary buys a property with free and clear title to it. The intermediary and prospective buyer then agree upon a sale price (including an agreed upon profit for the intermediary) that can be made through a series of installments, or as a lump sum payment.
Mutual Fund|Mutual Fund. An investment company that pools individual, institutional and other investors' money and invests it in a variety of securities or markets. Shares can be redeemed at Net Asset Value (NAV). The funds offer investors diversification and professional management for a yearly management fee.
MV|Market Value (Only for CDO,CLO,CBO securities)
MX CERT BURSATIL|Short term Mexican Mmkt instrument
NDF SWAP|A swap that is similar to a non-deliverable forward, with the only difference being that settlement for both parties is done through a major currency. Non-deliverable swaps are used when the swap includes a major currency, such as the U.S. dollar, and a restricted currency, such as the Philippine peso or South Korean won.
NEG INST DEPOSIT|Negotiable Institutional Deposit
NEGOTIABLE CD|Negotiable Certificate of Deposit. A negotiable money market instrument that trades on the open market with high returns and low risks. These instruments are typically large-dollar denominated and are held by large institutional investors. Alsoknown as jumbo CD's
NEW ZEALAND CP|New Zealand Commercial Paper
NON-DELIVERABLE FORWARD|Non-deliverable forwards are a type of cash settled financial derivative. In the foreign exchange market, traders and investors will enter into an outright forward or futures contract where counterparties agree to settle based upon the difference between a strike price and the prevailing spot rate for a specified notional amount on a defined fixing date in the future.
NON-DELIVERABLE IRS SWAP|Denominated in a currency on a non-deliverable basis, but settled in another currency that is deliverable
NVDR|Thailand Non Voting Depositary Receipt.
NY Reg Shrs|New York Registered Shares. A foreign company's shares that are registered through their home office in New York.
OID|Original Issue Discount (OID). A bond with its par value discounted at the time it is issued. The difference between the purchase price and the adjusted price is considered income in addition to any interest that may be paid. If held to maturity, no capital gains tax will be paid since the gain is considered interest.
ONSHORE FORWARD|Onshore forward foreign exchange transactions occur in controlled domestic markets and involve the purchase of a specified amount of one currency and selling of another on an agreed future date. Onshore forward rates are not necessarily determined by an arbitrage free relationship between the interest rates of the two currencies and the current spot rate.
ONSHORE SWAP|The Swap can only be traded in the local currency in the local market (ex: KRW onshore swaps)
Open-End Fund|A fund that allows investors to buy and sell stock in it on an on-going basis since it has unlimited shares. It continuously issues and redeems shares so the number of shares issued and outstanding varies from day to day.
OPTION|A contract that provides the right, but not the obligation, to buy or sell a specific amount of a specific security within a predetermined time period.
OPTION VOLATILITY|A measure of the variation of the price of the underlying asset
OVER/NIGHT|Used for ticketing Overnight transactions
OVERNIGHT INDEXED SWAP|An overnight index swap uses an overnight rate index, such as the Federal Funds Rate, as the underlying for its floating leg.
PHILIPPINE CP|Philippino Commercial Paper
Physical commodity forward.|The amount of a specified underlying asset of a contract that is physically delivered by the seller of the contract to the exchange, and by the exchange to the buyers of the contract.
Physical commodity future.|Commodity Future. A contract to buy or sell a specific commodity a ta specified price at a certain future date.
Physical commodity generic.|Physically Deliverable (Physical) Generics on Commodity Futures. Generics are used to combine multiple futures contracts to build a generic history stream.
Physical commodity option.|Physical Commodity. The actual, tangible commodity, such as corn or soybeans, which a seller delivers to the buyer of a commodities contract.
Physical commodity spot.|Physically Deliverable (Physical) Spot on Commodity Futures. Spot is the actual physical product on which a futures contract is based.
Physical index future.|Stock Index Future. A futures contract that uses a stock index as its base, and which is settled by delivery of the underlying stocks.
Physical index option.|Index Options. An option that is based on a stock index (performance measure of a group of stocks). Such options enable investors to trade in a particular market or industry group without having to buy individual stocks. Index options are issued by the Options Clearing Corporation.
PIK|A loan whereby interest may be capitalized and added to the principal amount of the loan, which is then compounded and the aggregated amount of which will be due to lenders at maturity. PIK loans are usually in the form of a term loan.
PIK REV|A loan whereby interest may be capitalized and added to the principal amount of the loan, which is then compounded and the aggregated amount of which will be due to lenders at maturity. Once borrowed, can be borrowed again.
PIK SYNTH LOC|A loan whereby interest may be capitalized and added to the principal amount of the loan, which is then compounded and the aggregated amount of which will be due to lenders at maturity. Fully cash collateralized with proceeds of a term loan which has been issued by the same borrower, usually with the same amount and terms.
PIK TERM|A loan whereby interest may be capitalized and added to the principal amount of the loan, which is then compounded and the aggregated amount of which will be due to lenders at maturity. Once borrowed, cannot be re-borrowed.
PLAZOS FIJOS|Argentinian Money-Mkt instrument
PORTUGUESE CP|Portugal Domestic Commercial Paper
Preference|Preference Stock. A special type of common stock that shares in the earnings of the company, has limited voting rights, and may have a dividend preference. Preference shares may also have liquidation preference.
Preferred|Preferred Stock. Stock shares that represent a portion of ownership in a company, with the shares normally carrying fixed dividends. Sometimes the shares have voting rights, but not generally.
PRES|Not used
Prfd WRT|Indicates that the underlying is a preferred security
PRIV PLACEMENT|Private Placement. A large block of securities offered for sale to an institutional investor or a small number of investors through private negotiations, as opposed to the securities being acquired in a public offering. Such placements are not registered with the SEC.
PRIVATE|a preferred security issued as a private placement (not registered with SEC). This also includes 144A securities that typically get exchanged into public securities once the company has the documentation ready for the SEC. 144A securities allow issuing entities to obtain their money be selling the securities and then typically have 90-180 days to file the correct documentation with the SEC.
Private Comp|Private Company: A company whose ownership is private. As a result, it does not need to meet the strict Securities and Exchange Commission filing requirements of public companies. Private companies may issue stock and have shareholders. However, their shares do not trade on public exchanges and are not issued through an initial public offering. In general, the shares of these businesses are less liquid and the values are difficult to determine.
PROMISSORY NOTE|Promissory Note. A written commitment to pay another party a specific amount of money by a specific date. A note, for example, is a promissory note.
PROV T-BILL|Commercial Paper issued by Canadian Provinces
Prvt CMO FLT|Privately Issued CMO Floating Rate Security
Prvt CMO INV|Privately Issued CMO Inverse Floating Rate Security
Prvt CMO IO|Privately Issued CMO Interest Only Security
Prvt CMO Other|Privately Issued CMO Other type (Less common type of security such as PAC or Sequential)
Prvt CMO PO|Privately Issued CMO Principal Only Security
Prvt CMO Z|Privately Issued CMO Z (Accrual Bond)
PUBLIC|non private issue
Pvt Eqty Fund|A private equity fund is a collective investment scheme used for making investments in various equity (and to a lesser extent debt) securities according to one of the investment strategies associated with private equity. Private equity funds are typically limited partnerships with a fixed term of 10 years (often with annual extensions). At inception, institutional investors make an unfunded commitment to the limited partnership, which is then drawn over the term of the fund. From investors point of view funds can be traditional where all the investors invest with equal terms or asymmetric where different investors have different terms.
RDC|Russian Depositary Certificate. The Russian Depositary Certificates represent fractional undivided interests in Sub-Trusts of the Russian Depositary.
Receipt|Certificates issued by a bank, representing shares held by the bank, usually by a branch or correspondent in the country of issue.
REIT|Real Estate Investment Trust (REIT). A corporation or business trust which owns, manages and/or leases commercial real estate properties, and/or invests in Real Estate related securities, such as mortgaged-backed securities or whole loans and when meeting certain tax code requirements, is exempt at the entity level from corporate income tax. A creation of Congress, REIT legislation was initially passed in 1960 and was amended in 1986 to enhance and increase ownership and management focus on the underlying asset operations. REITs are exempt from federal (and usually state) corporate income taxation, subject to meeting certain IRS requirements for real estate investment and ownership, real estate income and dividend levels, i.e., dividend payout requirements for REITs require that 95% of taxable income be paid as a dividend.
REPO|A form of short-term borrowing for dealers in government securities. The dealer sells the government securities to investors, usually on an overnight basis, and buys them back the following day.
RESTRUCTURD DEBT|Bonds that came out of the Brady plan in the 1980's that addressed the LDC debt crisis.
RETAIL CD|Certificates of Deposit sold to Retail customers
RETURN IDX|Not applicable to currencies
REV|Funds may be borrowed, repaid, and then borrowed again throughout the life of the loan. (Resembles a credit card).
REV GUARANTEE FAC|Funds may be borrowed, repaid, and then borrowed again throughout the life of the loan. Contingent liability which is issued by a bank to ensure/guarantee that an underlying project is completed.
REV VAT-TRNCH|Funds may be borrowed, repaid, and then borrowed again throughout the life of the loan. Given as temporary reimbursement for a VAT credit it has with the state.
Right|A security giving stockholders entitlement to purchase new shares issued by the corporation at a predetermined price (normally less than the current market price) in proportion to the number of shares already owned. Rights are issued only for a short period of time, after which they expire.
Royalty Trst|Royalty Trust. An oil or gas company spins off property to its shareholders, which means it will not be taxed at the corporate level and will offer high returns to stockholders.
S.TERM LOAN NOTE|Short Term Loan Notes
SAMURAI|Samurai Bond. A debt instrument denominated in Japanese yen, but not issued by a Japanese agency or company.
Savings Plan|Savings Plan is a general category which groups variable annuity, collective investment trusts and separately managed accounts. Securities categorized under collective investment trusts and separately managed accounts fund types are for Bloombergs internal use.
SBA Pool|Agency Pool issued by Small Business Association
SDR|Swedish Depository Receipt
Sec Lending|Security Lending. aka stock lending. Refers to the lending of securities by one party to another. The terms of the loan will be governed by a Securities Lending Agreement, which, under U.S. law, requires that the borrower provides the lender with collateral, in the form of cash, government securities, or a Letter of Credit of value equal to or greater than the loaned securities. As payment for the loan, the parties negotiate a fee, quoted as an annualized percentage of the value of the loaned securities. If the agreed form of collateral is cash, then the fee may be quoted as a rebate, meaning that the lender will earn all of the interest which accrues on the cash collateral, and will rebate an agreed rate of interest to the borrower.
SHOGUN|Shogun Security. A foreign corporation-issued, non-yen denominated security distributed in Japan. Also known as a geisha bond.
SHORT TERM BN|Short Term Bank Notes
SHORT TERM DN|Short Term Deposit Notes- Short-term deposit notes issued directly by the bank. These deposit notes are issued for the bank's own general funding purposes
SINGAPORE CP|Singapore Commercial Paper
SINGLE STOCK DIVIDEND FUTURE|Single Stock Dividend Future. A dividend future is a derivative contract that allows investors to take positions on future dividend payments.
SINGLE STOCK FORWARD|Single Stock Forward. A forward contract is a non-standardized contract between two parties where the price is agreed at the initial trade date. These contracts are not exchange listed.
SINGLE STOCK FUTURE|All standard equity futures are single stock futures or SSFs. Other possible returns are SSDF, Single Stock Dividend Future, DNSF, Dividend Neutral Stock Future, and CFD, Contract For Difference. These returns only apply to the equity button.
SN|Structured Note
SPECIAL LMMK PGM|Auxiliary program type setup for linking securities to mmkt ticker
SPOT|Spot. Available for immediate delivery
Spot index.|Statistical movement of the underlying security as represented by a basket of spot traded securities.
STANDBY|A financial commitment issued on a stand-by basis and borrowed only if and when needed. It is not used alone as a loan type.
STANDBY LOC|A financial commitment issued on a stand-by basis and borrowed only if and when needed. Guaranteed by the lender(s) and used for purchase of goods, completion of construction projects, and/or general purposes.
STANDBY REV|A financial commitment issued on a stand-by basis and borrowed only if and when needed. Once borrowed, can be borrowed again.
STANDBY TERM|A financial commitment issued on a stand-by basis and borrowed only if and when needed. Once borrowed, cannot be re-borrowed.
STERLING CD|Certificates of Deposit issued in British Sterling Market
STERLING CP|Certificate of Deposit (CD). A debt instrument issued by a bank that will pay interest, periodically or at maturity (set by competitive forces in the marketplace), and principal when it reaches maturity. Maturities range from a few weeks to several years. It may have a fixed or floating rate of interest. Certificate of Deposit Rollover. An investment strategy used to defer taxes on income from a Certificate of Deposit. An individual who has purchased a certificate of deposit on margin expected to mature in the following year, can deduct the interest on the loan in the current year and move the income from the certificate to the up-coming year. - STERLING
SWAP|Swap Rates. Interest rate swaps are highly customized agreements that possess a wide range of configurations and complexities. However, most are of the generic, or plain vanilla sort. A plain vanilla swap is an agreement of two parties to exchange interest payments with each other during an agreed-upon period of time. In a plain vanilla swap, one of the interest payment streams is fixed, while the other is floating, and no exchange of principle takes place.
SWAP SPREAD|Primarily quoted in basis points, swap spreads take the difference between two different interest rate swaps.
SWAPTION VOLATILITY|Volatility of the underlying swap rate
SWEDISH CP|Swedish Commercial Paper
SWINGLINE|Short term loan that allows the borrower to draw funds on short notice, usually the same day. It is not used alone as a loan type.
Swiss Cert|Swiss Certificate. Original share certificate of a foreign company, mainly originating in the US, the UK or Canada, which is quoted on a Swiss Stock Exchange and is registered in the nominee name of a specified Swiss nominee endorsed in blank. For dividend payments or in corporate actions it must be stamped by the nominee company.
SYNTH LOC|A letter of credit facility which is fully cash collateralized with proceeds of a term loan which has been issued by the same borrower, usually with the same amount and terms.
SYNTH REV|A letter of credit facility which is fully cash collateralized with proceeds of a term loan which has been issued by the same borrower, usually with the same amount and terms. Once borrowed, can be borrowed again.
SYNTH TERM|A letter of credit facility which is fully cash collateralized with proceeds of a term loan which has been issued by the same borrower, usually with the same amount and terms. Once borrowed, cannot be re-borrowed.
TAIWAN CP|Taiwan Commercial Paper
TAIWAN CP GUAR|Taiwan Guaranteed Commercial Paper
TAIWAN NEGO CD|Taiwan Negotiable Certificates of Deposit
TAIWAN TIME DEPO|Taiwan Time Deposits
TAX CREDIT|The bond pays little or no interest, but gives a tax credit to bondholders.
TAX CREDIT, OID|The bond pays little or no interest, but gives a tax credit to bondholders. The security is an Original Issue Discount.
TDR|Taiwan Depository Receipt
TERM|A loan with a fixed availability period and often includes some minimum repayment schedule. Once borrowings have been repaid, they cannot be re-borrowed.
Term|A loan with a fixed availability period and often includes some minimum repayment schedule. Once borrowings have been repaid, they cannot be re-borrowed.
TERM DEPOSITS|Term Deposits
TERM VAT-TRNCH|A loan with a fixed availability period and often includes some minimum repayment schedule. Once borrowings have been repaid, they cannot be re-borrowed. Given as temporary reimbursement for a VAT credit it has with the state.
THAILAND CP|Thailand Commercial Paper
Tracking Stk|Tracking Stock. Shares issued by a company which pay a dividend determined by the performance of a specific portion of the whole company. Tracking stocks do not represent or require any change in business structure. Holders of tracking stock are considered to hold equity in the parent company and not the specific entity represented by the tracking stock. Tracking stock is often set up by companies that have several diverse divisions, both so that investors can take a share in a division of their interest, and so that the performance of these divisions can be tracked in terms of shareholder interest. A company will sometimes issue a tracking stock when it has a very successful division that it feels is underappreciated by the market and not fully reflected in the company's stock price.
TREASURY BILL|Represents the interest rate of short term bonds issued by governments.
U.S. CD|US Certificates of Deposit
U.S. CP|US Commercial Paper
U.S. INT BEAR CP|Interest-Bearing Note. A note on which the issuer has agreed to pay the face value plus interest.
UIT|Unit Investment Trust. A portfolio made up of a variety of different income securities that are pooled together and sold to investors as units. Each unit represents a fractional, undivided interest in the portfolio's principal and income.
UK GILT STOCK|Gilt. A British word used to connote a debt obligation.
Unit|A unit is an exchange traded equity-type investment that is similar to common stock. By owning securities or assets of an underlying business (or businesses), an income trust is structured to distribute cash flows from those businesses to unit holders in a tax efficient manner.
US DOMESTIC|US issuer issuing in US dollar in the US market.
US GOVERNMENT|US Government issued security
US NON-DOLLAR|A US issuer issuing into the US domestic mkt in a currency other than US Dollars
VAR RATE DEM OBL|Variable Rate Demand Obligation, Municipal instrument with varying resets frequencies
VAT-TRNCH|A facility a company is given as temporary reimbursement for a VAT credit it has with the state. The banks anticipate a credit that should be covered by the state.
VENEZUELAN CP|Venezuelan Commercial Paper
VOLATILITY DERIVATIVE|Volatility derivatives are a class of derivative securities.
Warrant|Warrant. A company-issued certificate that represents an option to buy a certain number of stock shares at a specific price before a predetermined date. A warrant, because it has a value of its own, can be traded on the open market. Bloomberg abbreviates warrants as WRNTS or WT.
YANKEE|Yankee Bond. A foreign bond denominated in U.S. dollars and registered with the Securities and Exchange Commission for sale in the United States.
YANKEE CD|Yankee Certificates of Deposit, issued by Foreign Banks via US Branch
YEN CD|Japanese Yen Certificates of Deposit
YEN CP|Japanese Yen Commercial Paper
Yield Curve|A chart consisting of the yields of bonds of the same quality but different maturities. This can be used as a gauge to evaluate the future of the interest rates. An upward trend with short-term rates lower than long-term rates is called a positive yield curve, while a down trend is a negative or inverted yield curve.
ZERO COUPON|Zero Coupon Bond. A bond sold at deep discount that pays no interest until maturity, at which time the holder receives the bond's face value plus all accrued interest. While holders receive no interest on the bond until maturity, they are responsible for paying taxes each year on the unpaid interest.
ZERO COUPON, OID|Also called a Capital Appreciation Bond (CAB). The bond is sold at a deep discount, but on interest payments are made. The bondholder receives the full value (par amount) of the bond at maturity. The security is an Original Issue Discount
